city,country,kayak_or_iata_city_code,airport_count,airport_codes,kayak_contains_count,kayak_contains_codes,source_confidence,notes
New York,United States,NYC,3,"JFK,LGA,EWR",3,"JFK,LGA,EWR",kayak_verified,"KAYAK has New York-NYC route pages. Do not add SWF/HPN unless live KAYAK autocomplete/result pages confirm they are included in NYC."
London,United Kingdom,LON,6,"LHR,LGW,LCY,LTN,STN,SEN",6,"LHR,LGW,LCY,LTN,STN,SEN",kayak_verified,"KAYAK uses London-LON and lists multiple London airports/routes."
Paris,France,PAR,3,"CDG,ORY,BVA",3,"CDG,ORY,BVA",kayak_verified,"KAYAK uses Paris-PAR and pages reference CDG/ORY/BVA."
Rome,Italy,ROM,2,"FCO,CIA",2,"FCO,CIA",kayak_verified,"KAYAK uses Rome-ROM; IATA metro mapping includes FCO and CIA."
Milan,Italy,MIL,3,"MXP,LIN,BGY",2,"MXP,LIN",kayak_verified_partial,"KAYAK uses Milan-MIL; MXP/LIN observed in KAYAK text. BGY is common for Milan but must be live-verified in KAYAK before production use."
Chicago,United States,CHI,2,"ORD,MDW",2,"ORD,MDW",kayak_verified,"KAYAK uses Chicago-CHI and lists Chicago Midway/O'Hare."
Washington DC,United States,WAS,3,"DCA,IAD,BWI",3,"DCA,IAD,BWI",kayak_verified_iata_reference,"KAYAK uses WAS route pages; IATA references WAS as a metropolitan area code."
Tokyo,Japan,TYO,2,"HND,NRT",2,"HND,NRT",kayak_verified,"KAYAK uses Tokyo-TYO and pages reference Haneda/Narita."
Buenos Aires,Argentina,BUE,2,"EZE,AEP",2,"EZE,AEP",kayak_verified,"KAYAK uses Buenos-Aires-BUE. Live-verify if EPA appears in autocomplete; do not include unless confirmed."
Toronto,Canada,YTO,2,"YYZ,YTZ",2,"YYZ,YTZ",kayak_verified_partial,"KAYAK uses Toronto-YTO and examples show YYZ/YTZ. Verify YHM/YKF before adding."
Houston,United States,HO1,2,"IAH,HOU",2,"IAH,HOU",kayak_verified_non_iata,"KAYAK uses Houston-HO1 in route URLs. This is KAYAK-specific and not standard IATA HOU city code."
Osaka,Japan,OSA,3,"KIX,ITM,UKB",0,"",iata_high_confidence_needs_kayak_verify,"Common IATA metro/city code; verify live KAYAK route/autocomplete before production."
Seoul,South Korea,SEL,2,"ICN,GMP",0,"",iata_high_confidence_needs_kayak_verify,"Common IATA metro/city code; verify live KAYAK route/autocomplete before production."
Beijing,China,BJS,2,"PEK,PKX",0,"",iata_high_confidence_needs_kayak_verify,"Common IATA metro/city code; verify live KAYAK route/autocomplete before production."
Shanghai,China,SHA,2,"PVG,SHA",0,"",iata_high_confidence_needs_kayak_verify,"SHA can be both airport and city-style code. Verify live KAYAK behavior before production."
Moscow,Russia,MOW,4,"SVO,DME,VKO,ZIA",0,"",iata_high_confidence_needs_kayak_verify,"Common IATA metro/city code; current route availability may vary. Verify before production."
Rio de Janeiro,Brazil,RIO,2,"GIG,SDU",0,"",iata_high_confidence_needs_kayak_verify,"Common IATA metro/city code; verify live KAYAK route/autocomplete before production."
Sao Paulo,Brazil,SAO,3,"GRU,CGH,VCP",0,"",iata_high_confidence_needs_kayak_verify,"Common IATA metro/city code; verify live KAYAK route/autocomplete before production."
Stockholm,Sweden,STO,4,"ARN,BMA,NYO,VST",0,"",iata_high_confidence_needs_kayak_verify,"Common IATA metro/city code; verify live KAYAK route/autocomplete before production."
Tenerife,Spain,TCI,2,"TFS,TFN",0,"",iata_high_confidence_needs_kayak_verify,"Common IATA city/island code; verify live KAYAK route/autocomplete before production."
